# This is a comment line to skip
username;name;price;review;description
anna_kelly_6682;Anna Kelly;41.0;"""Nostrum: Expedita; Libero a assumenda explicabo""";"""Sint quo provident itaque veniam: Expedita sint perferendis sequi voluptates; Quae maxime"""
miss_roberts_2949;Miss Holly Roberts;42.0;"""Note: Eum officia eos; then Eum incidunt iure cupiditate""";"""Veniam doloribus sed vel error mollitia: Omnis molestias; Earum porro nisi labore"""
miss_shah_8719;Miss Molly Shah;47.0;"""Nam dolor at: Quaerat molestiae numquam consequatur ex; Suscipit doloribus atque quia""";"""Note: Optio voluptatibus quisquam; then Laudantium vero saepe et"""
diane_lowe_8817;Diane Campbell-Lowe;24.0;"""Note: Neque; then Id assumenda""";"""Note: Ab; then Officia minima neque"""
chloe_lawson_0464;Chloe Lawson;;"""Perferendis enim in earum asperiores excepturi; Soluta nobis accusantium Molestias incidunt aliquid optio""";"""Veniam sit doloremque excepturi: Voluptatum inventore; Id aliquam"""
shaun_lewis_9265;Shaun Brown-Lewis;36.0;"""(Distinctio inventore placeat ratione nulla vitae nihil) ; Similique and Itaque eos ab totam ab""";"""(Omnis ducimus) ; Labore odio and Iure reprehenderit"""
marc_brooks_6342;Marc Brooks;35.0;"""Quidem a sequi aperiam officia; Voluptatem quasi dolorum corrupti ; Vero nobis soluta""";"""Officia rerum; Sint Quis ut magni rem deserunt magnam"""
mr_clayton_5596;Mr Adam Clayton;97.0;"""Amet porro; Ea quasi quibusdam Quos at""";"""Nobis odit atque; Eaque ea amet alias ipsam reprehenderit Repudiandae iure"""
marie_jenkins_7330;Marie Jenkins;91.0;"""Perspiciatis beatae mollitia: Optio dolorum vero excepturi temporibus; Et""";"""Saepe: Doloribus adipisci eveniet repudiandae; Non facere"""
gareth_pearson_5502;Gareth Thompson-Pearson;7.0;"""(Repellendus nostrum nam quaerat ratione) ; Eum cum ullam perferendis impedit fugiat and Labore eaque ad atque""";"""Voluptatibus; Blanditiis doloribus quod quod ; Sapiente minima non"""
mary_faulkner_9789;Mary Faulkner;61.0;"""Porro quae consequatur dolor quam; Facere nam ; Possimus""";"""Quidem fuga odio velit alias exercitationem; Necessitatibus similique ; Qui nihil"""
miss_cook_6369;Miss Sian Cook;19.0;"""Note: Doloremque maxime; then Accusamus dolorum aperiam""";"""(Facere assumenda error dolor ducimus) ; Vero quis voluptates and Explicabo sint provident illum labore assumenda"""
gordon_thompson_0626;Gordon Thompson;76.0;"""Note: Dignissimos maiores distinctio; then Ut soluta""";"""Eum itaque natus ex non; Suscipit pariatur optio animi quasi ; Itaque placeat nobis voluptatibus"""
george_lane_4197;o;76.0;"""Quod voluptate molestias architecto perspiciatis earum; Et ipsa facilis ; Molestiae""";"""Consequatur aliquam: Rem a nam dolorem nam; Quisquam numquam repudiandae"""
molly_thomas_0968;Molly Thomas;85.0;"""Nam dolorem; Voluptatum quos alias ; Earum commodi numquam""";"""Porro possimus dolores quidem minus; Non vitae officiis quaerat ; Iste exercitationem"""
joanne_newton_6765;Joanne Gibson-Newton;25.0;"""Recusandae et nisi iusto voluptatum; Occaecati atque qui ; Earum facere""";"""Note: Nostrum; then Aliquam facilis deserunt repellat"""
graeme_short_9949;Graeme Short;15.0;"""(Quia consequuntur rem quidem repudiandae) ; Facilis magni and Quod expedita""";"""(Explicabo assumenda ducimus) ; Ratione and Sit natus non cum"""
joan_lynch_8440;Joan Lynch;69.0;"""Id neque molestiae; Architecto enim Quo quam optio eveniet""";"""(Autem mollitia deserunt magni) ; Aliquid molestiae tempora and Culpa harum adipisci consectetur ipsam"""
jasmine_singh_9653;Jasmine Singh;22.0;"""Note: Architecto harum beatae; then Cumque amet sint amet doloribus minus""";"""Amet dignissimos quae ex praesentium: Porro esse sequi maiores; Aperiam perspiciatis assumenda vitae recusandae pariatur"""
adam_simpson_5505;Adam Simpson;26.0;"""Quos deleniti quos ad iure perspiciatis; Veritatis ut Labore eligendi quod animi""";"""Note: Corporis fugiat harum; then Voluptatum facilis odio"""
pamela_chan_6104;Pamela Chan;34.0;"""Note: Autem sit; then Non autem""";"""Libero dolore culpa: Repellendus sit perspiciatis veritatis voluptatum; Repellendus rem libero nobis"""
charlene_green_3357;Charlene Green;71.0;"""Quisquam corrupti voluptatum hic: Quisquam; Libero voluptatem aliquam""";"""Note: Fugiat consectetur error molestias quibusdam; then Quia eaque eligendi dolorem officiis pariatur"""
