# This is a comment line to skip
name;score;total_count;salary;comment
Kimberly Li;32.0;42.1;39.2;'''Imagine painting; Head fast give church pretty ; Production'''
Kyle Bridges;82.0;20.1;39.2;'''History behavior respond agent focus; Grow buy democratic ; Energy past'''
Timothy Cole;67.0;32.1;21.2;'''Bring other health language; Another often partner Field listen power'''
Sarah Jones;88.0;65.1;19.2;'''Great: Its pass support energy; Management most old clearly'''
Matthew Morris;39.0;9.1;45.2;'''Production: Never imagine cover owner why necessary; Chair billion'''
David Rowe;47.0;30.1;66.2;'''Several recent; National treatment ; Investment them style'''
Dakota Schroeder;19.0;62.1;68.2;'''Discuss recently write executive; Measure short Every anyone'''
Jennifer Ross;4.0;84.1;6.2;'''I; Seem six country ground film Citizen'''
Jacqueline Dawson;45.0;26.1;58.2;'''Note: Somebody central; then Much yet'''
Gail Murillo;56.0;70.1;3.2;'''Method notice already imagine; Investment Friend'''
Theodore Taylor;84.0;67.1;69.2;'''Management home occur: Pass send sea; Order visit'''
Peter Bowman;79.0;58.1;52.2;'''(Several cultural anyone) ; Phone factor second and Cost sign pass movie back'''
Brenda Smith;62.0;34.1;85.2;'''Behavior tree lay quite class: Night; Water nature traditional'''
Brian Blackburn;11.0;57.1;90.2;'''Reduce; Reflect down Report food its'''
Vernon Webb;7.0;62.1;37.2;'''Note: Other six statement four; then We human wonder million indicate degree'''
Sherry King;40.0;33.1;18.2;'''For spring; Deal can Same line relate'''
Bryan Allen;93.0;73.1;60.2;'''Pm; Guess Information'''
Cheryl Boyd;94.0;90.1;71.2;'''Worry increase; Reduce up Matter soon its'''
James Levine;100.0;26.1;91.2;'''Spend necessary; Radio what they choice ; How Congress choose'''
Thomas Hays;21.0;69.1;89.2;'''Note: Whether choose list nothing; then Finish community'''
Kristi Warner;95.0;90.1;53.2;'''(Summer senior) ; Fund piece show case something and Show ok character model cup writer'''
Mackenzie Wade;43.0;92.1;72.2;'''(Activity beat teach nice) ; Different list do goal and Bag pretty song perhaps subject'''
Maria Valdez;62.0;65.1;61.2;'''Take ball key: Again information; Difficult will'''
Melvin Ibarra;91.0;38.1;62.2;'''Course wear art feel: South; Across although'''
Kimberly Carson;16.0;73.1;29.2;'''High rich; Relationship dinner ; Former specific line prepare'''
Zachary Cook;8.0;9.1;89.2;'''Public speech course: Follow speech customer total its claim; Prepare hit chance themselves'''
Chris Wong;10.0;65.1;22.2;'''None girl; Choice ; Side institution'''
Brian Acosta;63.0;2.1;86.2;'''(Move five personal) ; Shake different event suggest and Treatment'''
Charles Ellis;54.0;14.1;96.2;'''(Year buy she western easy) ; Still summer and Spring improve reveal clearly lot strategy'''
Jessica Larson;66.0;70.1;55.2;'''Note: School nearly; then Whatever city sister'''
Jacob Whitehead;15.0;99.1;77.2;'''Note: Reach really; then Fund occur'''
Jade Garcia;63.0;51.1;25.2;'''Hotel song force question discuss group; Area north popular quite plant ; Which'''
Christopher Taylor;80.0;38.1;61.2;'''Too role else imagine against: Appear feeling drive research; Off'''
Mrs. Jasmine Collins DDS;72.0;61.1;50.2;'''None maintain wait fast say sing; Stock financial two travel Wind network'''
Kelly Torres;41.0;94.1;44.2;'''Movement: Leg share money; Traditional another president'''
Lucas Ortiz;11.0;;;'''Away identify property deal; Finally call Bag democratic support argue too'''
o;77.0;72.1;46.2;'''Note: Sign foreign ready always; then Final anyone'''
Larry Collins;70.0;33.1;96.2;'''Explain even exactly cultural; Thank pretty ; Green month'''
Jerome Coleman;25.0;34.1;95.2;'''Note: By consider wrong operation tell; then While could'''
Katelyn Garcia;61.0;15.1;91.2;'''Mind; North ; Generation current job success'''
Michelle Walker;40.0;61.1;17.2;'''Push executive; Produce occur Stop brother'''
Emily Diaz;34.0;80.1;71.2;'''Over: Turn very artist; Let leader class evening water popular'''
Kelly Cruz;21.0;52.1;57.2;'''Dream whatever: Government strategy top; Next through'''
Miguel Williams;99.0;76.1;88.2;'''Plan any; Crime edge ; Run history detail series third pass'''
Bernard Reyes;95.0;8.1;25.2;'''Point soldier would there; There hot interest ; Throughout fly front understand'''
Patrick Morgan;12.0;95.1;94.2;'''Answer soon age quality ball: Fear; Avoid skin relationship sound'''
Richard Butler;76.0;31.1;77.2;'''(Perform office professor center) ; Good resource charge certainly arm and Piece wrong suggest get policy usually'''
Ralph Joyce;;40.1;54.2;'''Mother central: Lose very; If green catch certain baby'''
