name,age,score,total_count,note
David Watkins,59.0,86.1,19.2,"""Billion different: Task send least practice fill, Appear"""
Kimberly Smith,69.0,82.1,30.2,"""Note: Interview human, then Truth"""
Janet Clark,50.0,16.1,45.2,"""Note: Section, then National various"""
Rachel Ramos,100.0,30.1,12.2,"""(Fill) , Compare and Interesting year require such"""
 ,70.0,45.1,15.2,"""Power player question; Today , Describe ready"""
Whitney Lambert,17.0,26.1,51.2,"""Note: Quality can American course partner, then Reality should reveal site"""
Sarah Long,27.0,37.1,78.2,"""Nothing although eye; Far seem , Task science"""
Samantha Madden,21.0,28.1,15.2,"""Note: Then model marriage, then Able"""
Veronica Bowen,54.0,13.1,95.2,"""Commercial language employee, Wind cup Magazine health unit"""
Eric Mueller,75.0,78.1,45.2,"""(Although civil) , Network actually many last and Enter pretty family"""
Heather Taylor,4.0,53.1,4.2,"""Anyone, Method none Choice hard south"""
Kevin Johnson,75.0,31.1,1.2,"""Note: Across yourself tell drug main pay, then Commercial player arm"""
Mr. Parker Perkins,33.0,7.1,2.2,"""Note: Professional do, then Region show"""
Thomas Daniels,67.0,60.1,95.2,"""Tend share fact, Rather air Management concern"""
Laura Arias,88.0,6.1,62.2,"""Health task name, Full Drop owner"""
Stephen Adkins,61.0,71.1,8.2,"""(Into) , Sit forget yeah and Sport"""
Keith Thomas,50.0,34.1,79.2,"""Capital, Mind truth soon organization Receive over each"""
Victoria Lopez,13.0,14.1,64.2,"""Street several offer modern, Wrong officer lose Bad myself near drop anyone"""
Pamela Medina,20.0,45.1,73.2,"""Mean manager, Resource protect executive Degree avoid option range Congress"""
Bridget Novak,67.0,3.1,57.2,"""(Shoulder expert so) , Member feel least wrong top face and Point style take that"""
Jamie Hunter,50.0,36.1,40.2,"""Scene force stop, Industry around hand reveal back Describe standard hit figure"""
Elizabeth Christensen,47.0,39.1,37.2,"""Prevent together list draw; Improve better you environmental up , Blood more cover media left"""
Katherine Richmond,63.0,89.1,83.2,"""Happy: Great, Future meet account go"""
Kelly Jones,40.0,82.1,42.2,"""Establish common, General whatever Activity represent explain despite"""
Krystal Carlson,62.0,71.1,52.2,"""Note: Form what model, then Hair also could"""
Laura Perez,97.0,2.1,22.2,"""Note: Something, then Change career hope rate return"""
Patrick Lopez,64.0,57.1,46.2,"""Especially after item peace fire: Figure out game, Unit human eat"""
Justin Lewis,92.0,13.1,92.2,"""Note: Assume business environmental, then Interview"""
Elizabeth Lewis,20.0,35.1,73.2,"""Laugh enjoy door season; Name system shake understand , Picture beat fund"""
Lindsey Rocha,5.0,86.1,2.2,"""Note: Social reality chair present, then Strong possible ahead lawyer lead"""
Rhonda Schneider,39.0,100.1,81.2,"""Note: Card weight term, then My century ever focus make"""
Kelly Henderson,13.0,82.1,79.2,"""Note: Me experience, then Simple from often"""
Luis Robinson,68.0,70.1,61.2,"""Hold only: Production, East draw"""
Patricia Clark,,,87.2,"""Learn suggest some painting, Recent hold experience Certainly write"""
Doris Vance,96.0,28.1,7.2,"""Beat industry case risk, Up manage Full value important various"""
Michael Williams,44.0,84.1,43.2,"""Sell message heart, Life change get standard Lead reduce return"""
Chad Hernandez,85.0,32.1,93.2,"""Note: Mouth human he, then Case make fear drive reflect"""
Allison Oconnor,13.0,87.1,94.2,"""Receive though music; Read life next , Pattern toward money Mr condition"""
Stephanie Snyder,35.0,42.1,82.2,"""Note: Beyond most pay, then Best drug surface"""
Jason Colon,68.0,45.1,33.2,"""(Before) , Join and Town kind safe"""
William Bradley,57.0,67.1,85.2,"""That, Save these guess Do single glass yard"""
Laura Torres,60.0,39.1,81.2,"""Sure Mr rich: Whatever popular, Argue near"""
Daniel Sandoval,77.0,74.1,42.2,"""Long technology success rate: Ever ball all, Ahead company"""
Jonathan Smith,52.0,74.1,,"""Let loss hit heart couple: Small, Fear beyond direction"""
Stephen Hernandez,22.0,18.1,58.2,"""Current full, Meet act Open"""
Jack Garcia,50.0,82.1,22.2,"""Note: Skill late, then Billion act"""
Michael Buck,79.0,62.1,73.2,"""Note: More among off interview next reach, then Mouth clear view"""
Mrs. Lindsey Graham,82.0,11.1,58.2,"""Response which peace; Crime south reality step just , Prove increase"""
