# This is a comment line to skip
name,price,salary,note,description
Jonathan Williams,52.0,11.1,"""Not guy station dream; Quite success , Guy hold""","""Note: Example provide direction, then Own business practice their clearly"""
Yesenia Sims,25.0,75.1,"""(Fish local cut) , Pass challenge difficult old relate and Age ahead model""","""Next side, Contain down Example worker hear"""
David Lee,48.0,64.1,"""From; Response face pressure officer , Spring pass career especially college""","""Car nice form pressure use: Trial Mr vote, Pass debate line reflect blood"""
Christopher Harper,99.0,96.1,"""Stock chair, Detail page site others baby Her camera good""","""Culture take commercial: Participant anyone whatever, Need TV"""
Jeremy Patton,21.0,21.1,"""(Next star) , Organization and Third sell""","""(Require right) , Appear indicate true and Scientist body"""
Christina Mitchell,7.0,,"""Note: Attack wait this address, then Investment capital behind""","""Note: Newspaper laugh ok summer, then Cause"""
 ,4.0,27.1,"""Knowledge beautiful lawyer: Me exactly, Board appear happy impact""","""Tv almost, Matter energy reality Create thousand material card activity"""
Emily Fowler,2.0,50.1,"""Note: Trouble oil race cell address, then Near sit where tell debate""","""Because first author decade, Traditional drive Item raise"""
Christy Hughes,93.0,36.1,"""Feeling partner recently, Cover leave public particular start realize fear Sister young society become marriage commercial""","""Whom born, Process your fine Game every"""
Cynthia Hill,56.0,83.1,"""Western, Either responsibility Back play discuss""","""(Occur) , Teach and Religious term hot"""
Austin Mendez,30.0,97.1,"""Happy nor its why increase, Lay response beautiful ago Glass foot form hit""","""(Base skill herself market similar share) , Call piece and Several simply control when"""
Jacob Burgess,,93.1,"""Note: Side, then Future visit against""","""(Player window one wind manage) , Note agency market task and Human cover"""
Rebecca Warren,97.0,93.1,"""Heavy rather character result, Teacher part serve Church""","""Field fish suddenly talk; Every box white in , Level argue"""
William Mayer,72.0,98.1,"""Major home difficult sign; Maintain outside name good half , Safe customer argue trade six""","""Degree exactly man matter bar, Tough office yeah Lawyer"""
James Hendricks,94.0,82.1,"""(Reason tell sometimes pretty) , Often difficult and Brother part""","""Note: Wait become, then Nature data offer through"""
Amy Crawford,59.0,45.1,"""Threat important economy, Them sit form blood carry Without hot turn my else chance""","""(Manager any hand) , Fill and Down tell"""
Faith Oconnell,28.0,53.1,"""Note: Require son only run, then Your indeed""","""Give easy miss cup, Would short him hot Specific cover blood imagine"""
Nathan Jimenez,57.0,79.1,"""(Seat think dog ask) , Expect plan and Firm year word""","""Employee option end: Another, Attack bill"""
Kathleen Pacheco,82.0,45.1,"""(Group fly) , Onto coach right and Military tough as the experience""","""Note: Up simply anything, then Range pressure"""
Andrea Simmons,6.0,46.1,"""Present discover fight: Last bag mission central whom owner, Forget fight since""","""(Line toward) , Picture class and Garden south wife tree politics"""
Sean Taylor,43.0,74.1,"""Benefit feeling many establish wish full, Under Still""","""Respond every; Despite stock , Else traditional by determine"""
April Garrison,93.0,87.1,"""Note: Ask level throw idea personal, then Charge beyond seem certainly""","""Score catch compare, Laugh southern son Affect visit teach"""
Carla Mills,10.0,34.1,"""Baby type hard security act; Us stock far , There""","""(Hard beat various) , Southern face theory position and Power meet staff may"""
