username,name,price,age,total_count,remark,description
katherine_anderson_3951,Katherine Anderson,36.0,60.1,5.2,"""Iure iure adipisci fuga dolor, Perspiciatis rerum harum Ratione""","""(Quia hic cupiditate) , Tempore tempore neque and Optio sunt"""
stuart_booth_9036,Stuart Booth,41.0,82.1,55.2,"""Ullam nemo aperiam, Veritatis laborum labore ducimus Fugiat maxime doloribus eligendi inventore""","""Note: Voluptate optio nulla, then Maiores sed"""
dorothy_harper_9844,Dorothy Harper,54.0,64.1,33.2,"""Note: Accusamus explicabo quos mollitia, then Et nemo minus""","""Laborum: Non aliquam, Nesciunt illo tenetur aut ducimus nostrum"""
mr_davis_5890,Mr Toby Davis,90.0,29.1,17.2,"""Note: Accusamus, then Ducimus minima""","""Laboriosam assumenda necessitatibus, Tempore deserunt Magni eaque"""
simon_storey_7881,Simon Storey,40.0,51.1,27.2,"""Saepe illo itaque nesciunt: Placeat fugit nemo, Laborum quas suscipit soluta""","""Note: Eum eligendi eius magnam, then Saepe nesciunt"""
max_moss_8490,Max Moss,97.0,80.1,75.2,"""Iusto exercitationem labore in ex maxime, Cumque corporis nulla Sit ullam""","""Fuga minima laborum molestiae: Dolores ullam fugit ut, Ipsum"""
ms_harris_0584,Ms Amelia Harris,10.0,85.1,,"""Voluptas corrupti reprehenderit; Unde dolore totam , Vero""","""Note: Eveniet deserunt a, then Possimus hic alias quas"""
emma_smith_1076,Emma Smith,85.0,8.1,12.2,"""Note: Ratione ipsam, then Ratione aut illum minima""","""Perferendis fuga; Iusto soluta fugit maiores , Sequi"""
mandy_moran_2001,Mandy Hamilton-Moran,50.0,36.1,41.2,"""Nesciunt: Officiis earum accusamus, Sequi aspernatur nihil""","""Quidem praesentium deserunt: Et facilis, Eveniet nulla doloribus"""
miss_burgess_8067,Miss Katie Burgess,11.0,93.1,19.2,"""(Velit adipisci asperiores possimus) , In est dolor odit and Temporibus consequatur saepe natus""","""Eveniet magnam, Culpa debitis Dolorum nihil voluptatibus"""
craig_rose_9540,Craig Harrison-Rose,,67.1,91.2,"""Voluptas magnam: Voluptatem fugiat, Eligendi eveniet impedit accusamus commodi placeat necessitatibus""","""Suscipit aliquid: Hic, Nam fugit expedita similique commodi fugit"""
angela_jones_7922,Angela Jones,79.0,88.1,4.2,"""Minus modi, In Perspiciatis maiores officiis eos""","""Note: Magni veniam, then Corporis voluptatem neque fugit quia"""
