username;name;salary;description
ms_cooke_5067;Ms Rosie Cooke;87.0;'''Note: Laudantium itaque suscipit libero; then Voluptas recusandae nobis'''
dominic_burns_6910;Dominic Burke-Burns;61.0;'''Note: Deserunt totam provident; then Est ducimus'''
christian_king_0480;Christian King;95.0;'''Note: Alias aperiam earum repudiandae libero; then Ratione'''
abbie_davies_7758;Abbie Davies;78.0;'''Enim fugit; Voluptatum molestias numquam debitis ad Occaecati mollitia dignissimos iusto commodi corporis'''
danny_thompson_8246;Danny Thompson;44.0;'''Sint repudiandae rem earum voluptate: Tempora ullam iure; Suscipit'''
mr_price_9196;Mr Stewart Price;15.0;'''Note: Quia minima quasi; then Blanditiis molestias soluta'''
stanley_brennan_6657;Stanley Riley-Brennan;26.0;'''Nemo fugit officiis; Eum hic Tempore velit dicta quos iste'''
kirsty_yates_0589;Kirsty Yates;87.0;'''Debitis animi; Consequuntur nulla ; Ex nulla praesentium repudiandae numquam'''
duncan_williams_1232;Duncan Williams;79.0;'''Sint vitae sapiente magni dolores esse; Et hic Consectetur dignissimos eveniet'''
mrs_moore_4943;Mrs Megan Moore;8.0;'''Tenetur tempora quae nisi; At accusamus Nostrum'''
jodie_bell_9389;Jodie Bell;12.0;'''Molestiae repellat: Delectus error dolores tenetur consectetur; Sapiente hic modi'''
miss_green_8530;Miss Sally Green;100.0;'''Ad iure vel ratione hic; Dicta harum quasi nisi magnam ; Vitae velit quo earum'''
ross_willis_9569;Ross Willis;12.0;'''Reiciendis numquam ipsam; Aspernatur facere nesciunt Totam cumque'''
brian_barker_9753;Brian Barlow-Barker;44.0;'''(Accusamus sunt consequuntur omnis) ; Velit vel animi sed and Quod eum nihil'''
tony_bird_1486;Tony Bird;36.0;'''(Vitae) ; Reprehenderit similique deserunt ratione dicta and Excepturi est dicta cum'''
ryan_fox_5931;Ryan Fox;15.0;'''(Unde id consectetur) ; Quod pariatur soluta magni commodi culpa and Laboriosam totam voluptas beatae commodi a'''
joanna_hall_3488;Joanna Hall;10.0;'''Placeat occaecati; Quidem aliquid quos ipsa recusandae commodi Non facilis repellat'''
mr_briggs_9288;Mr Kenneth Briggs;18.0;'''Eaque: Sed; Laborum iusto'''
francis_hall_6559;Francis Hall;98.0;'''Mollitia sunt: Iste; Quas dolor occaecati fugit minus suscipit'''
dr_thompson_7489;Dr Rachel Thompson;73.0;'''Note: Atque corporis autem; then Ipsam sit atque quos omnis'''
laura_payne_1304;Laura Payne;65.0;'''(Voluptatum facere similique) ; Inventore sint and Nostrum ipsam odio voluptate iusto'''
victoria_day_7882;Victoria Jackson-Day;47.0;'''(Sequi) ; Quasi explicabo and Architecto reiciendis'''
marion_gordon_3722;A;28.0;'''Tempora: Tempora error esse laboriosam; Ipsum esse temporibus'''
irene_evans_9394;Irene Evans;73.0;'''Odit modi asperiores fuga: Perferendis minus nulla ratione corporis; Itaque iste'''
jean_morton_3869;Jean Morton;9.0;'''Quae quae; Pariatur laudantium ; A repellendus ipsum aliquid ea blanditiis'''
wendy_cook_1738;Wendy Marsden-Cook;21.0;'''(Accusamus quia amet) ; Ex a porro and Veritatis minus optio praesentium sit'''
dr_long_6980;Dr Janice Long;;'''Inventore accusamus; Nihil eius recusandae dolores ; Neque ipsa ea nisi'''
dr_page_7040;Dr Robert Page;2.0;'''Esse ducimus consequatur possimus; Eveniet error voluptate esse a ; Distinctio ex impedit distinctio'''
