username;name;total_count;score;price;note;description
terry_davis_8889;Terry Davis;53.0;20.1;73.2;"""Institution wide particularly: Watch state; Law experience""";"""Which benefit: Scene record true; Game"""
spencer_davis_0847;Spencer Davis;56.0;;89.2;"""Yet contain stuff specific; Box win open smile body Middle show""";"""Ball movie baby; Born ; Conference PM home rule manager somebody"""
patricia_cohen_3988;Patricia Cohen;33.0;43.1;5.2;"""Note: Cost others gun true; then Cold development difference""";"""Note: Audience accept third adult; then Candidate less yeah"""
sherry_davis_5593;Sherry Davis;24.0;30.1;14.2;"""(Word cell) ; Turn fill and Possible own""";"""Note: Whom man; then This look true modern full"""
christine_guerrero_7457;Christine Guerrero;5.0;72.1;23.2;"""(Benefit PM) ; Ago and Everything education oil""";"""Far: Music stop; Walk get own"""
jacqueline_wright_9868;Jacqueline Wright;84.0;69.1;87.2;"""Life health address; Goal away System service couple""";"""Foot create meeting; Pay ready play ; Go up affect"""
mike_peck_6572;Mike Peck;97.0;41.1;81.2;"""Special around suffer; About put ; Left theory hope design hospital resource""";"""(Agent) ; Instead serious keep and Health be"""
jeremy_hernandez_2193;Jeremy Hernandez;1.0;30.1;28.2;"""(Election heavy fast can) ; Owner and Feeling information""";"""Sit since professor; Find save Long black majority training maintain stage"""
dylan_sweeney_6268;Dylan Sweeney;18.0;97.1;27.2;"""Create war open; Local Represent road""";"""Note: Necessary break; then Yard she"""
tiffany_mullins_4025;Tiffany Mullins;69.0;83.1;21.2;"""Note: Minute long; then Focus state""";"""Between ready international have; Term newspaper detail interest ; Move scene just a"""
stephanie_young_1562;Stephanie Young;53.0;9.1;39.2;"""Physical a financial; Figure serve ; Artist research""";"""Enter; Medical would degree ; My"""
shane_walker_2141;Shane Walker;38.0;47.1;8.2;"""Why our hear with range; Physical song force experience memory foot Stuff production woman authority night""";"""Position perhaps buy; Democratic easy end fill ; Half forward"""
kyle_white_7838;Kyle White;6.0;19.1;71.2;"""(Science decision wear) ; Less degree seek consumer and Identify thousand make section""";"""Note: Language; then Pm purpose"""
jason_henderson_9058;Jason Henderson;48.0;4.1;80.2;"""Note: Administration; then How protect remain""";"""Visit again bad buy it; Approach range leg into ; Seven six"""
stephen_jenkins_4788;Stephen Jenkins;99.0;21.1;7.2;"""(Now through believe) ; Nor thought page executive and Decade their""";"""Follow thing inside realize cultural: Mother career provide environment; Key message"""
melinda_silva_2424;Melinda Silva;7.0;35.1;;"""Camera these hand; Child put the together If""";"""Note: Officer single; then Sense fund"""
carla_snyder_1919;Carla Snyder;1.0;52.1;59.2;"""(Edge ok shake) ; Song wall rule and Box fund into agency two""";"""(Side) ; Born and Receive season"""
brenda_schmidt_1664;e;;25.1;40.2;"""Argue worker; Firm activity ; Boy month""";"""Account protect key: Must conference; Economic stuff third"""
virginia_jenkins_1360;Virginia Jenkins;60.0;5.1;91.2;"""Sound evidence miss five focus a; Now real quality media Medical later weight""";"""Fine; Especially ; Physical want"""
tiffany_white_7153;Tiffany White;91.0;4.1;4.2;"""Note: Mr; then Seek mother natural even third""";"""(Way prepare red) ; Manage space pass similar car and Buy success"""
randall_carter_3074;Randall Carter;33.0;4.1;8.2;"""Position message civil little after design; Pretty story before For study back""";"""(Who low) ; System reveal and Into central four try"""
nathan_cisneros_4276;Nathan Cisneros;26.0;46.1;27.2;"""Bad Mrs owner: Ball buy fire collection; Rest democratic""";"""Note: Evening science stock; then Beyond middle choice affect citizen"""
john_riley_3297;John Riley;70.0;75.1;87.2;"""(Around campaign) ; Onto a alone dinner party and Eight where population book me""";"""Likely class simply happen; Phone sit performance ; Physical never commercial for"""
wendy_waller_7900;Wendy Waller;89.0;35.1;55.2;"""Though room; Many hope age environmental place Career pick that loss""";"""You talk example information charge; Make decade why country history ; Perhaps cover"""
michelle_greene_9757;Michelle Greene;59.0;90.1;1.2;"""Situation; Good medical Exactly whose without world item""";"""Leader suddenly; War structure Red west heavy board idea"""
corey_hamilton_2779;Corey Hamilton;63.0;55.1;80.2;"""Treatment land: Story; Money person""";"""Discover type; Minute adult drive ; Wait"""
monica_tran_6918;Monica Tran;95.0;96.1;89.2;"""Common personal: Production attorney especially voice subject; Middle central economy""";"""(Law course) ; Admit though and Option stand sing address"""
aaron_bishop_5440;Aaron Bishop;55.0;2.1;23.2;"""My sometimes; Time side Necessary seek""";"""Policy production which: Air better when allow; Important experience none social"""
alexis_gaines_2185;Alexis Gaines;22.0;15.1;8.2;"""Note: About son foreign; then Article down family""";"""Note: While pull commercial; then Western quite"""
thomas_miller_3803;Thomas Miller;39.0;54.1;89.2;"""Consider level raise hair: Rather enjoy; Meeting glass style""";"""Federal them about; Second level Other behavior vote again"""
