name,username,total_count,rating,salary,summary,review
Kelly Martinez,kelly_martinez_3353,38.0,16.1,100.2,'''(Author arm) , Wrong buy former and Song worker''','''Until old state candidate: Dinner reflect run, Team especially'''
Keith Liu,keith_liu_0842,48.0,19.1,78.2,'''(Court garden involve east) , Book any and Member''','''Month coach; Example it , Simply machine'''
Kelly Rodriguez,kelly_rodriguez_0876,74.0,85.1,21.2,'''Computer detail effect radio; New news heart throw , Pull''','''Believe west maintain; Remember buy couple professional , Activity by'''
Dawn Mcgee,dawn_mcgee_0216,92.0,2.1,79.2,'''(Behavior sort month) , Help share good and These''','''Note: Sure partner, then Job clear available'''
Collin Brown,collin_brown_2930,47.0,92.1,25.2,'''Call former; Strong plan deep Mr little author , This close more security''','''Scientist cost support: Left within, Treatment team'''
Steven Moore,steven_moore_5713,62.0,44.1,56.2,'''Note: Statement week respond ask already, then Carry case''','''(Note man much top address) , Senior especially and Partner card'''
James Woods,james_woods_5678,,15.1,2.2,'''(Option direction) , Become and Sell free''','''Consumer trouble: Listen arm, Back remember push method success them'''
Anthony Ellis,anthony_ellis_5492,95.0,4.1,63.2,'''Network fly movie must, Usually message soon note Few''','''Bill: Later, Career where foreign'''
Kristina Taylor,kristina_taylor_8608,88.0,,17.2,'''Stop your religious pay brother of oil, Summer yet control happen Do key short hair national''','''Note: College, then Require'''
Michael Morris,michael_morris_6467,37.0,65.1,53.2,'''Finish sell strong several: Let allow, That official''','''Chance you central approach world serious, Pretty Live hope senior every box'''
Kyle Bonilla,kyle_bonilla_6813,8.0,53.1,3.2,'''Note: After, then Draw system life''','''(Although born thing) , Design teach and Three'''
Anne Hawkins,anne_hawkins_4603,78.0,35.1,83.2,'''City, Range behind top little Science store mention''','''Note: Challenge section process, then Along money trip truth south'''
Karen May,karen_may_8905,94.0,19.1,4.2,'''Note: Pay traditional might son, then Long represent lay phone''','''Note: Ago, then Save chance'''
Timothy Sawyer,timothy_sawyer_8397,50.0,67.1,28.2,'''(Many play like half before) , Believe sense pay and Which capital argue''','''(Note president) , Already and At within happen community lawyer'''
Michele Lara,michele_lara_2555,92.0,77.1,41.2,'''Meeting spend: Change and customer second, Base ever soon figure use artist''','''(Record it) , Blue reveal street many and Suffer soldier'''
Anna Carter,anna_carter_9852,82.0,86.1,28.2,'''Note: Nor job month, then Fast knowledge candidate floor''','''Community: Care, Line'''
Zachary Wood,zachary_wood_2705,79.0,97.1,7.2,'''Note: Why, then Goal item clear full billion series''','''Indicate listen; Tree word challenge , Cup rather'''
Kimberly Parker,kimberly_parker_5501,70.0,85.1,92.2,'''(Fund grow worry) , Collection give and Director''','''Letter; Election few above manage , Prevent husband growth source'''
