# This is a comment line to skip
username;name;salary;price;age;review
jake_sanchez_3158;Jake Sanchez;41.0;25.1;75.2;"""Note: Simple another street; then Question wide section within allow"""
thomas_rivera_7074;Thomas Rivera;9.0;78.1;47.2;"""Person mouth knowledge recently phone; Quickly option recognize ; Miss much"""
tina_mccormick_5336;Tina Mccormick;66.0;69.1;80.2;"""(Two effect) ; Able water and Owner soon fight"""
ruth_boyd_4827; ;12.0;7.1;30.2;"""(Benefit) ; Evening and Road edge poor loss"""
cindy_diaz_1575;Cindy Diaz;46.0;78.1;67.2;"""(Nothing experience happen) ; Bed prevent and Continue sometimes bill"""
robert_mercado_3185;Robert Mercado;2.0;45.1;;"""(Series) ; Use and Anyone during cultural nation physical method"""
nicholas_le_4671;Nicholas Le;64.0;91.1;19.2;"""When; Offer they Tonight dark ten"""
charles_williams_7176;Charles Williams;74.0;79.1;57.2;"""Quality local nearly; Be light difference machine ; Anyone"""
zachary_morgan_8031;Zachary Morgan;51.0;76.1;29.2;"""Home ready research; Simple upon ; Oil"""
sandra_brown_3875;Sandra Brown;35.0;;1.2;"""City buy range; Walk our street ; Admit cause raise"""
joseph_reed_8204;Joseph Reed;62.0;3.1;64.2;"""Vote decade show; North role Tax thought"""
david_castaneda_4892;David Castaneda;79.0;1.1;7.2;"""Parent; Prevent expect Democrat management Under"""
barry_davis_0702;Barry Davis;70.0;41.1;2.2;"""Matter: Movement reflect; Raise although possible"""
dr_ballard_2710;Dr. Kathy Ballard;68.0;29.1;66.2;"""Note: Certainly; then Past"""
brianna_haney_5243;Brianna Haney;37.0;82.1;6.2;"""End movement stock report; Central sea Instead pull often"""
eric_dunn_6582;Eric Dunn;;70.1;71.2;"""Right attack: Car store; According bring turn"""
kimberly_macias_8981;Kimberly Macias;82.0;66.1;12.2;"""Thank particular; Reduce high Although month policy"""
miguel_mullins_4153;Miguel Mullins;34.0;83.1;54.2;"""(They situation) ; Somebody purpose campaign be quite mention and Catch"""
james_ball_2890;James Ball;83.0;79.1;26.2;"""Third here us pressure like; Teacher score next all Which teacher doctor"""
michelle_craig_7663;Michelle Craig;95.0;22.1;38.2;"""Note: Alone movie evidence imagine; then Just sometimes company science"""
amy_clark_5527;Amy Clark;58.0;5.1;95.2;"""Glass campaign; Still detail drive Tough catch such"""
katherine_allison_5949;Katherine Allison;9.0;56.1;32.2;"""Each focus listen because history; Article until daughter ; Get real western"""
eric_crawford_4014;Eric Crawford;14.0;57.1;21.2;"""Note: Family eight there; then Professor"""
allison_parker_2669;Allison Parker;94.0;19.1;73.2;"""Evidence bed item church; Goal central century Health whom color general sound"""
katie_taylor_6731;Katie Taylor;34.0;45.1;46.2;"""Note: Both international; then Policy cup development share ago"""
