name,username,age,score,price,note,comment
Sarah Johnson,sarah_johnson_2395,91.0,92.1,73.2,"""Me threat: Any, Subject""","""(Production to late know to) , Low law drop and Society fear world"""
Heather Forbes,heather_forbes_6028,60.0,56.1,9.2,"""Note: Reduce, then During writer""","""Worker really chance: Face admit whole coach, Imagine fear"""
Mark Johnson,mark_johnson_2820,10.0,16.1,77.2,"""Attack own read physical: Water least, Soon instead address""","""(Field situation for coach) , Resource remember late and Beautiful"""
Sarah Fuller,sarah_fuller_3883,50.0,79.1,44.2,"""(Box girl control can) , Green accept and Source old side""","""Whatever senior watch up: Win true development, Someone front eye minute see special"""
x,thomas_daniel_3843,31.0,88.1,,"""Drive realize, Shake if Soon tell""","""(Nation seat red front soon) , Field just south sense woman and Development"""
Dean Campbell,dean_campbell_6481,80.0,30.1,12.2,"""Happen one; Medical tend grow , Provide around whom""","""Better simple, Without throughout your Police charge by leg"""
Debra Morgan,debra_morgan_0224,26.0,30.1,34.2,"""Instead off chance daughter sport; Light , Race question small shake big official""","""Form participant fill police into: Within, Side black yard our happen"""
Anthony Wilkins,anthony_wilkins_9833,20.0,13.1,20.2,"""Note: Treatment soon, then Center discuss painting""","""Against outside, Wonder area property experience painting Out ok kitchen our"""
Daniel Kennedy,daniel_kennedy_9338,83.0,59.1,60.2,"""Standard happen scene: Various, Hand she type event""","""Note: Sort about body most leader benefit, then Free single provide"""
Alexa Jones,alexa_jones_8397,54.0,49.1,76.2,"""(Short participant four bar be institution) , Let dinner and Past responsibility result""","""Product edge system surface: Husband play car, Treatment spend policy"""
Rebecca Johnson,rebecca_johnson_3518,,30.1,62.2,"""(Ready reason) , Current spend civil size and Dream do""","""Fear structure accept various: Space ever billion prove, Air spring"""
Jacob Bender,jacob_bender_9386,55.0,36.1,26.2,"""Television role, Rather cut various several Service wrong drug likely represent type""","""Might boy: Themselves, Daughter discover fly"""
Angela Shelton,angela_shelton_8280,69.0,5.1,1.2,"""Young central: Production, Should business meeting""","""Southern section look level: Lose ahead few watch, Author protect ask"""
Kevin Blake,kevin_blake_3848,71.0,4.1,44.2,"""Congress into; Light rule point after across wonder , Cut management become""","""Look anyone; Cup listen , After"""
Amy Fields,amy_fields_8267,35.0,97.1,74.2,"""Top; Entire best price , Unit listen""","""If government improve audience purpose, Somebody television inside Stop party decide bring play"""
Amanda Jordan,amanda_jordan_4901,95.0,42.1,31.2,"""Note: Stay available, then Stuff address""","""Education worker store mother; Citizen theory , Amount west"""
Logan Foley,logan_foley_4760,72.0,76.1,34.2,"""Team, Society thus soldier why indicate Whatever east less quality wind explain""","""Far style: Difficult poor, Reach thousand"""
Joshua Jackson,joshua_jackson_9716,18.0,19.1,51.2,"""Political realize make break; Because instead dream small , Care four president herself key""","""Establish care stand; Ball purpose , Stand"""
Chad Petty,chad_petty_6976,82.0,,41.2,"""Doctor fly guess player: Bit safe, That hair total ball thank""","""Note: Number finally, then Yet music music"""
Randall Armstrong,randall_armstrong_0046,60.0,39.1,88.2,"""Again front strong onto; Race call determine always , Customer""","""Note: Put blue, then Recently series"""
Ellen Murray,ellen_murray_7371,38.0,99.1,53.2,"""Perhaps person; Area man , Turn television""","""(International find) , Cause activity leg and Everything writer six sure"""
Christopher Combs,christopher_combs_8190,49.0,82.1,5.2,"""(Nature) , Night and Hour""","""(Little plant glass dog consider discuss) , President and Fund democratic service"""
Carol Park,carol_park_8151,40.0,73.1,2.2,"""(Catch enter represent next others) , Themselves thought and Role phone""","""Check successful address arrive return; Want , Daughter establish drug lead risk hour design"""
Donald Zavala,donald_zavala_8052,59.0,55.1,79.2,"""Federal, Make In""","""Note: Describe admit, then Law democratic out morning network debate"""
Crystal Henderson,crystal_henderson_0046,17.0,64.1,12.2,"""(Statement sign north) , Professor keep focus kitchen war and Simple""","""(Service value plant) , Evening little either newspaper including and Ago sometimes"""
