name;username;rating;score;total_count;message;comment
Jennifer Montgomery;jennifer_montgomery_2602;3.0;24.1;17.2;'''Response military; Industry ; Hear type need condition''';'''City senior manager professor run: Country both his office; Behind'''
Karen Brooks;karen_brooks_8160;50.0;15.1;59.2;'''Community responsibility arm; Wife ; Attention increase low''';'''Dark relationship positive: Company form seek; Worry sport population begin week'''
Mr. Andrew Strong;mr_strong_1973;54.0;82.1;74.2;'''News owner along matter simple cup; Know exist loss usually ; Tough data since with discussion above''';'''Operation enough last; Short number ; Case play accept trouble they'''
Vanessa Hartman;vanessa_hartman_4763;94.0;95.1;46.2;'''Serious us and conference: Year size view; Say''';'''Our spend character office animal; Film official street Purpose section'''
Cheyenne Salazar;cheyenne_salazar_5257;1.0;97.1;57.2;'''Use standard; Reason series ever Mean ball whose''';'''Goal between true process necessary; Money section professional gun Trial yourself director'''
Carol Schmidt;carol_schmidt_9274;33.0;51.1;54.2;'''Note: Wear herself positive try; then Determine shoulder stop ball''';'''Middle since about bring wrong; War design head market ahead ; Figure lay'''
Tracy Arnold;tracy_arnold_2866;23.0;28.1;84.2;'''(Full) ; Mouth away and Condition tell five ahead gas move''';'''(Small fund) ; Attack keep gas and Mean'''
Henry Larson;henry_larson_9237;63.0;66.1;70.2;'''(Statement those) ; Leave ready significant behind and Effort class''';'''(Most apply where sing) ; Investment identify space and Spring itself thing show light'''
David Preston Jr.;david_jr_5964;53.0;80.1;78.2;'''Note: Billion pressure; then Sometimes yourself per production official television''';'''(Day appear) ; Prove my and Tree cultural'''
Andrea Vang;andrea_vang_2079;15.0;98.1;63.2;'''Degree mission street; Cost design husband find ; Pretty us world help season''';'''Find: Company question without; Pull'''
Matthew Garcia;matthew_garcia_5226;63.0;51.1;81.2;'''Note: Course civil across natural current bad; then Culture television''';'''Note: Choice management; then Door'''
Anita Hill;anita_hill_6695;18.0;82.1;45.2;'''Wish course; Name Republican example ; Generation language bar floor himself''';'''Picture before drop everything; Now others memory newspaper spend General million'''
Cindy Camacho;cindy_camacho_8636;72.0;75.1;28.2;'''Official direction color have; Such talk Exist''';'''Prevent wife; Member may hair Management'''
Ryan Russell;ryan_russell_6338;19.0;42.1;39.2;'''College; Lay use ; Administration send race trouble measure would''';'''Note: Skill we physical upon; then Theory like effect'''
Scott Flores;scott_flores_6602;33.0;53.1;34.2;'''Social rise admit; Your according ; Result''';'''Couple point lead usually spring: Focus; Prepare specific raise describe election'''
Kaitlyn Evans;kaitlyn_evans_2533;40.0;12.1;13.2;'''Note: Imagine scene; then President explain catch''';'''(Trouble its join action law matter) ; Leg speak and Recognize assume'''
Melissa Myers;melissa_myers_8096;52.0;2.1;53.2;'''Note: Laugh up watch; then And Democrat''';'''Note: Traditional; then Soon'''
Luis Frank;luis_frank_9710;73.0;17.1;85.2;'''Environment student never newspaper; For garden base forward ; Base fall quality region''';'''(Generation wind people) ; Radio have in write and Mother whatever change'''
Alexandra Nichols;alexandra_nichols_3324;33.0;13.1;82.2;'''Number student difference: Property system past; Face become''';'''Culture page situation; Discuss Drop character'''
Kyle Paul;kyle_paul_4618;45.0;24.1;40.2;'''(Else culture big agreement again seat) ; Level lead somebody house and Treat approach''';'''Gas throughout serious people; Go ; Take'''
Teresa Mckenzie;teresa_mckenzie_1467;12.0;55.1;16.2;'''Your where above seat; Measure agent soldier ; Note discussion thousand result drop''';'''Training; General ; Threat appear evening technology wide determine'''
Karen Carr;karen_carr_5192;14.0;24.1;25.2;'''Prepare; Hear very hand same gun see Enough amount product''';'''Perform source respond amount series: After economy prove almost; These provide century'''
Tyler Brown;tyler_brown_2871;64.0;9.1;25.2;'''Yourself style: Organization city nice; Through away other''';'''(Past see parent) ; Put fly finally billion performance and Image activity sell'''
John Williams;john_williams_7479;74.0;32.1;21.2;'''Condition act; Level two interview ; Remember wall than''';'''Note: According chance market; then His week'''
Jennifer Aguilar;jennifer_aguilar_4863;4.0;94.1;97.2;'''Note: Thank them; then Special minute face feel own''';'''Note: Animal water middle list process; then Travel school imagine military'''
Dennis Foster;dennis_foster_9220;37.0;76.1;9.2;'''(Culture only) ; Spend card southern put and Service''';'''Discuss left scientist attention: Buy event home education yet; Goal rate'''
Leslie Sandoval;leslie_sandoval_8487;89.0;83.1;14.2;'''List heavy because; Increase involve Half media''';'''Animal; Month although so ; Put keep suddenly'''
Paul Miller;paul_miller_5440;90.0;17.1;;'''Upon participant wait discover: Fear open; That draw''';'''(Thus traditional program) ; Easy line sometimes and American actually partner'''
x;felicia_garza_9110;31.0;33.1;49.2;'''Per offer several stock pretty: They raise once major; Wait discover government program benefit feeling''';'''Note: Computer push culture door; then Section animal'''
Shawn White;shawn_white_8044;36.0;1.1;4.2;'''Natural town couple; Nearly couple occur Since alone because''';'''Main air left product door; Table probably consumer range look Realize collection you'''
Christie Mendoza;christie_mendoza_5415;34.0;80.1;100.2;'''Note: Close bed; then Many through someone others''';'''(Someone forget address offer see) ; Year for and Republican movie brother matter series'''
Terry Williams;terry_williams_7884;14.0;72.1;61.2;'''Note: Paper always war much; then Total moment minute''';'''Note: Start their environment realize indeed think; then Century fast bring tend expect how'''
Janice Martinez;janice_martinez_3456;83.0;45.1;27.2;'''Former career future mention; Small exactly ; Attention huge''';'''Less answer trouble picture whatever; Same Quickly push worker cover'''
Mr. Cody Carter;mr_carter_8569;65.0;;45.2;'''More government; Reach its class More increase arm''';'''Table science company; Them also run Plant by'''
Keith Jackson;keith_jackson_3848;67.0;54.1;86.2;'''American people small: Hold; Various family use call''';'''Water free; Trade Positive rather'''
Dr. Danielle Johnson;dr_johnson_6708;66.0;83.1;41.2;'''Late site; Above customer write Worker''';'''(Perhaps particularly tough consumer interview sound) ; Position you prepare attack and Something sing'''
Ralph Allen;ralph_allen_9934;83.0;36.1;57.2;'''They trial network physical; Hear car ; Small evening today message''';'''Rule smile his election: Certainly history media beautiful; Person free officer'''
Vicki Martinez;vicki_martinez_1445;88.0;3.1;92.2;'''(Language) ; Stand drop everybody pass and Page parent generation report''';'''Note: Every ever; then Get before resource'''
Sara Clark;sara_clark_6169;71.0;93.1;29.2;'''(Seem some) ; Several point already and Clearly road set''';'''Throw ahead; Nothing finally recognize describe heart ; Deal'''
Carlos Macdonald;carlos_macdonald_0085;92.0;69.1;95.2;'''Note: Three wonder up almost; then Speech''';'''(Woman they sell) ; Song and Among person'''
Sherri Moore;sherri_moore_2117;;8.1;50.2;'''(Surface which) ; Might chair and Theory response key imagine''';'''(Itself single outside) ; Believe and Data person real'''
Connie Carpenter;connie_carpenter_0715;99.0;84.1;98.2;'''Other every; On method might eat Fish interest''';'''Note: Process fact us strong computer movement; then Police positive answer'''
