# This is a comment line to skip
username;total_count;salary;age;review
gerald_green_3151;92.0;42.1;95.2;'''Saepe consectetur in eveniet id: Aliquid unde reiciendis ullam repellendus facilis; Cupiditate'''
trevor_jackson_7889;88.0;80.1;26.2;'''Deleniti: Esse aperiam; Nam molestias expedita id'''
june_fox_4778;90.0;36.1;66.2;'''Nesciunt et; Nam omnis natus placeat eum animi ; Recusandae perspiciatis'''
kathryn_evans_5563;83.0;65.1;27.2;'''Animi dolores aliquid ab; Consequatur eligendi impedit Veniam quae voluptas sed'''
dylan_hammond_8205;79.0;65.1;90.2;'''(Natus mollitia velit quaerat tempora) ; Est nemo tempora and Sunt laudantium commodi'''
alan_ward_5552;92.0;84.1;55.2;'''Consequatur ut: Aliquid consequatur eaque beatae repellat ea; Animi'''
gerard_page_2768;37.0;36.1;43.2;'''(Libero accusamus iusto sapiente cumque) ; Aliquid minus and Eos ab sunt'''
jamie_elliott_8337;30.0;86.1;15.2;'''(Ab occaecati maxime) ; Laborum atque ex dicta architecto quis and Esse necessitatibus'''
ruth_morris_8238;95.0;23.1;83.2;'''Note: Placeat illum soluta ipsam; then Culpa odio quam vel architecto'''
james_wilson_5870;57.0;96.1;;'''Note: Quisquam deleniti enim; then Numquam assumenda dolorem quis'''
ms_king_6012;39.0;79.1;42.2;'''Laborum ad iusto: Atque odio labore minima in maxime; Voluptates natus accusamus facilis'''
harriet_brown_6849;68.0;34.1;83.2;'''Adipisci alias recusandae; Repellat quibusdam a laboriosam excepturi Quos ea'''
mr_bennett_1727;2.0;24.1;65.2;'''Aut nostrum; Deserunt totam velit praesentium doloribus ; Veniam vel error cupiditate eaque'''
alan_booth_5068;31.0;97.1;82.2;'''Sit culpa: Qui debitis eveniet; Libero non perferendis atque'''
alexandra_anderson_1217;9.0;64.1;78.2;'''Natus occaecati impedit; Architecto natus iure facere Labore'''
megan_herbert_7964;44.0;74.1;29.2;'''Veniam officiis excepturi ratione repudiandae: Qui omnis rem; Cumque cupiditate eum soluta autem'''
liam_smith_8326;24.0;75.1;22.2;'''Delectus; Facere ea minima et Accusantium corrupti eius a'''
ms_bradley_0286;28.0;38.1;15.2;'''(Neque cum repellendus) ; Officiis odio pariatur blanditiis and Nisi commodi veniam'''
chloe_hughes_2623;;84.1;95.2;'''(Accusamus) ; Aut est cum omnis and Voluptatum iusto vel'''
ms_sinclair_7349;53.0;60.1;17.2;'''Saepe; Inventore nisi ; Officia beatae'''
miss_cooke_1893;1.0;;9.2;'''(Sunt sit non sequi omnis) ; Aperiam and Eligendi non commodi'''
miss_price_9436;68.0;44.1;86.2;'''Accusantium voluptate dolores totam quibusdam; Est eligendi ; Porro ratione'''
emma_harrison_4422;81.0;2.1;92.2;'''(Inventore labore magnam perferendis) ; Id aspernatur recusandae tenetur doloribus and Recusandae ratione libero'''
