name	username	score	rating	description	note
Beth Phillips	beth_phillips_7240	27.0	61.1	'''Note: Qui	 then Omnis dolorum mollitia molestias'''	'''Eum cumque atque: Aspernatur perspiciatis non voluptatum	 Blanditiis tempora nostrum'''
e	lydia_french_2569	41.0	8.1	'''Sequi molestias nemo	 Occaecati aliquid fugit Sequi eligendi in magnam'''	'''Perspiciatis fuga	 Facere aperiam illo dolore unde ut Maxime eius'''
Shaun Wood	shaun_wood_9284	29.0	48.1	'''Note: Ea rerum	 then Impedit placeat totam dignissimos suscipit'''	'''Impedit sunt; Excepturi velit 	 Expedita inventore'''
Kirsty Butler	kirsty_butler_6907	35.0	47.1	'''Soluta sed repudiandae; Explicabo ipsa tempore architecto 	 Earum voluptatum'''	'''(Ad quod eligendi) 	 Nemo and Sequi beatae repudiandae'''
Peter Newman	peter_newman_7415	34.0	5.1	'''Note: Sit id	 then Eum temporibus quod'''	'''(Illum esse eum) 	 Aliquam tenetur veritatis and Reprehenderit'''
Kimberley Skinner	kimberley_skinner_4738	41.0	84.1	'''Illum veritatis rerum perferendis: Qui corrupti	 Corporis'''	'''(Id deleniti nesciunt a) 	 Magni blanditiis cum and Quaerat cum doloribus libero voluptatibus'''
Marilyn Byrne-Evans	marilyn_evans_9084	66.0		'''Quod iste eaque facere	 Dolor porro excepturi sed Dolores illum architecto culpa incidunt'''	'''Saepe consectetur	 Eum reprehenderit nostrum distinctio Numquam alias fuga a ullam placeat'''
Francis Harris	francis_harris_7135	22.0	15.1	'''Quo quo	 Sit totam animi Repudiandae deleniti nisi'''	'''Rem: Illo	 Perferendis non ducimus'''
Carol Bates-Butler	carol_butler_1026	47.0	17.1	'''(Ut eligendi) 	 Iure asperiores and Aspernatur blanditiis fugiat'''	'''Laudantium suscipit: Reiciendis corporis officia tenetur	 Delectus numquam et'''
Chelsea Ford-Williams	chelsea_williams_9593	48.0	85.1	'''(Labore totam qui) 	 Deleniti eligendi perferendis at and Optio aliquam'''	'''Voluptas nostrum voluptas; Dolor distinctio 	 Consequatur'''
Scott Edwards	scott_edwards_0887	21.0	16.1	'''Illum quas: Quas	 Sint veritatis'''	'''Sed sint: Amet dignissimos	 Inventore reprehenderit architecto'''
Gordon Farmer	gordon_farmer_4484	13.0	87.1	'''Note: Ex laboriosam sed	 then Assumenda libero molestias delectus'''	'''Quod mollitia	 Dignissimos repellat quasi Esse voluptate dolorum'''
Iain Thompson	iain_thompson_3648	70.0	11.1	'''(Maiores hic suscipit minima at) 	 Blanditiis voluptatibus occaecati and Eveniet quisquam itaque nam'''	'''Quae: Optio odit enim	 Rerum illo est'''
Elizabeth Parkinson	elizabeth_parkinson_0522	39.0	95.1	'''Sint odio sint; Eveniet dolorum ducimus aut placeat 	 Nobis enim'''	'''Accusamus laboriosam voluptate	 Magnam eius sapiente fuga iste velit Ex cupiditate accusantium'''
Janet Dobson	janet_dobson_8900	63.0	65.1	'''Numquam harum quos; Doloribus 	 Maxime velit'''	'''Pariatur nulla incidunt: Provident tempora exercitationem eum quidem modi	 Laborum quae'''
Andrea Pearson	andrea_pearson_5162		10.1	'''Voluptatibus fuga numquam: Porro	 Necessitatibus incidunt earum esse nobis consequatur'''	'''Excepturi voluptatibus: Ipsa recusandae voluptatem	 Amet enim'''
Samuel Holmes-Wilson	samuel_wilson_0132	57.0	4.1	'''Rerum voluptas	 Eius perspiciatis Id ipsam'''	'''Note: Non assumenda laborum minima maxime	 then Accusantium sint sed ea'''
Mitchell Smith	mitchell_smith_0699	62.0	80.1	'''(Aperiam accusantium) 	 Hic non and Beatae'''	'''(Unde incidunt) 	 Tenetur reiciendis nobis odio quasi error and Quibusdam labore id'''
Valerie Willis	valerie_willis_3693	90.0	57.1	'''(Magni) 	 Maxime and Hic'''	'''Velit maxime; Enim inventore quia 	 Non error laborum voluptates'''
Dr Scott Cox	dr_cox_4479	77.0	61.1	'''Sit tempore id: Fugit cupiditate deserunt laboriosam dolores	 Modi ipsam'''	'''Laudantium magnam laudantium sit perferendis	 Vitae Deserunt laboriosam'''
Dr Brandon Harris	dr_harris_7549	48.0	95.1	'''Recusandae sapiente: Minus libero consectetur neque	 Perspiciatis sunt maxime praesentium'''	'''Illo ut veritatis: Saepe	 Hic provident'''
