# This is a comment line to skip
name;score;description;comment
Dr Brandon Baker;38.0;'''Note: Magnam voluptatum consequuntur aliquam velit molestiae architecto; then Facere dicta praesentium atque dolor qui''';'''Asperiores deserunt ea; Error dolore maiores praesentium ; Ullam a nesciunt'''
Mr Sean Hamilton;93.0;'''(Debitis laudantium ea non at) ; Dicta and Cum quaerat explicabo atque ex''';'''Architecto voluptates iure libero; Facilis possimus ; Eum quis'''
Miss Julia Bibi;65.0;'''(Dolorum harum sit distinctio sed) ; Cupiditate repellat deleniti and Rem excepturi perspiciatis placeat''';'''Autem corrupti perspiciatis harum culpa sit; Quisquam occaecati repudiandae reiciendis Vitae odio nihil ea'''
Mr Tom Jackson;2.0;'''Dolor repellendus accusamus reprehenderit quisquam saepe; Ipsam ipsa esse possimus ; Amet repellat dolorem''';'''Exercitationem totam quasi magnam: Aut earum itaque; Illo quia quo in doloremque'''
Keith Adams-Harrison;17.0;'''Corrupti dolore earum quisquam omnis placeat; Eveniet quo Commodi dolores cum officia''';'''Voluptate voluptatum nobis: Atque; Aliquid quibusdam reiciendis facere ratione'''
Jill Hughes;20.0;'''Velit modi doloremque; Optio ; Debitis laborum a''';'''Dicta suscipit labore; Quam delectus Sit'''
Danielle Patel;73.0;'''Unde amet exercitationem velit; Debitis Consequatur nesciunt omnis quis''';'''Atque culpa; Tempora nostrum sequi sapiente debitis ; Doloribus ad molestiae'''
Sandra Hunt;6.0;'''(Quae aliquid) ; Suscipit cumque veniam et vitae and Incidunt ea nam sint''';'''Porro veniam placeat; Repellat incidunt minima blanditiis ut Veniam eligendi'''
Sarah Miller;19.0;'''Perspiciatis non harum maiores repellat; Illum Deleniti nihil nobis temporibus ipsa''';'''(Recusandae error) ; Aliquam reiciendis and Amet nulla ut dolorum quos'''
Alan Cox;40.0;'''Tenetur maiores; Quaerat labore necessitatibus Laboriosam fugiat reiciendis sunt''';'''Labore quasi; Tempore officiis quidem Aspernatur consequatur'''
Carly Clark;25.0;'''Quia; Rerum ipsa Ab laudantium''';'''Dolorum natus et quas dolor incidunt; Quasi veniam impedit ; Nisi iste laboriosam earum corrupti'''
Cheryl Cooper;30.0;'''(Ipsa placeat) ; Animi repellat and Facilis''';'''(Amet mollitia) ; Neque iure autem and Voluptas possimus non'''
