# This is a comment line to skip
username;name;rating;salary;total_count;summary;note
rosemary_byrne_6494;Rosemary Byrne;94.0;88.1;33.2;'''Note: Labore ab quae harum perspiciatis; then Doloremque iste eaque''';'''Dolorum voluptatem libero perspiciatis minus; Occaecati nostrum molestias ; Atque rem veniam vel nisi minus'''
dr_anderson_0086;Dr Annette Anderson;24.0;37.1;45.2;'''(Libero a sit placeat quo) ; Molestias adipisci quos quos and Aliquam tempora''';'''Note: Consequuntur; then Sed tempore nostrum minima'''
lynn_roberts_4455;Lynn Roberts;50.0;31.1;34.2;'''Note: Id; then Debitis libero facilis nobis sint''';'''Note: Deserunt possimus rerum culpa unde; then Amet'''
garry_davis_7098;Garry Davis;51.0;25.1;7.2;'''(Minima enim quaerat recusandae neque) ; Voluptatem molestias earum and Sunt voluptatem qui''';'''Note: Repudiandae quidem; then Quos voluptatibus'''
dominic_bird_6326;Dominic Bird;46.0;75.1;44.2;'''Note: Itaque similique; then Praesentium''';'''Note: Libero sed veritatis; then Saepe adipisci totam temporibus'''
sandra_williams_8710;Sandra Williams;58.0;58.1;55.2;'''(Veniam explicabo) ; Tempore voluptatem tenetur and Nihil consequatur ipsam''';'''(Aliquam natus iure) ; Recusandae eaque and Est doloribus ullam omnis'''
damian_walker_0421;Damian Walker;35.0;17.1;50.2;'''Note: Quo fugit ut ad; then Repudiandae exercitationem aperiam dolorum''';'''Note: Aliquid; then Perspiciatis iste'''
geoffrey_knowles_2663;Geoffrey Freeman-Knowles;92.0;52.1;38.2;'''Vitae eaque deleniti et tenetur; Minus ; Distinctio tenetur voluptatum iste facilis''';'''Quod et; Optio harum error ; Omnis delectus temporibus'''
john_butcher_2642;John Scott-Butcher;12.0;27.1;50.2;'''Sint quibusdam saepe architecto: Dolor laboriosam alias; Dolore cum reiciendis''';'''Note: Saepe explicabo quam; then Dicta'''
david_pope_6465;David Pope;11.0;54.1;;'''Laboriosam modi delectus; At aliquam dicta est fuga Possimus''';'''Note: Officiis ipsa magni; then Ad perspiciatis mollitia harum'''
ms_clark_5330;Ms Grace Clark;17.0;94.1;15.2;'''(Amet porro) ; Totam quo facere architecto veniam quia and Corrupti exercitationem doloremque ea''';'''Cupiditate provident voluptas recusandae earum: Porro reiciendis; Fugiat deserunt numquam neque odit ex'''
matthew_long_8697;Matthew Long;34.0;9.1;57.2;'''Optio odit illum aspernatur voluptas; Nulla et earum illo Eveniet''';'''Officiis odit quos odio sit labore: Natus sapiente; Minima'''
stewart_donnell_2227;'Stewart Garner-O''Donnell';56.0;90.1;85.2;'''(Atque) ; Reprehenderit nemo and Amet ullam quisquam''';'''(Architecto est asperiores) ; Fugiat non pariatur sapiente incidunt nihil and Debitis nemo hic qui'''
